101-OMS-6100-CFM,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.66
101001 Introduction_To_Course_And_Curriculum,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.37
101002 Memory_And_Learning,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.24
101004 Introduction_To_Public_Health_I,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.46
101005 Introduction_To_Public_Health_Ii,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.41
101006 Introduction_To_Public_Health_Iii,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.76
101007 Introduction_To_Bls,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.31
101008 Ethics_I,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.75
101009 Ethics_Ii,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.74
101010 Ethics_Iii,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.81
101011 Responsible_Conduct_Of_Research,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.45
101013 Osteopathic_Philosophy,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.61
101014 Development_Of_Osteopathic_Profession_1,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.47
101016 Somatic_Dysfunction,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.19
101017 Histology_1,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.27
101018 Histology_2,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.20
101019 Exam_Taking_Strategies,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.49
101020 Biochemistry_1_Introduction_To_Ph,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.09
101021 Introduction_To_Systems_Biology,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.24
101023 Physiology_1_Homeostatic_Regulation,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.14
101024 Histology_3,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.19
101025 Biochemistry_2,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.05
101026 Biochemistry_3,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.09
101028 Physiology_2_Fluid_Compartments,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.08
101030 Biochemistry_4,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.15
101031 Physiology_3_Membrane_Transport,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.07
101033 Physiology_4_Signal_Transduction,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.07
101034 Biochemistry_5,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.10
101036 Physiology_5,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.16
101037 Physiology_6,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.05
101039 Physiology_7,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.04
101040 Physiology_8,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.10
102-OMS-6111-MG,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.39
102001 Introduction_To_Medical_Genetics_Gene_Regulation,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.13
102002 Gene_Regulation_Epigenetics,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.07
102003 Intro_To_Genetic_Assays,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.12
102004 Autosomal_Dominant_And_Recessive_Inheritance,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.16
102005 Genetic_Variation,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.11
102007 Sex_Linked_And_Non_Tradtional_Inheritance,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.10
102008 Developmental_Genetics,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.12
102009 Clinical_Cytogenetics,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.10
102011 Gene_Mapping,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.16
102012 Popluation_Genetics,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.18
102013 Immunogenetics_1,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.14
102015 Cancer_Genetics,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.07
102017 Multifactorial_Inheritance,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.20
102018 Genetic_Testing,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.18
102020 Genetics_And_Personalized_Medicine,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.30
102021 Student_Presentations,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.30
102023 Genetic_Counseling,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.60
102024 Dysmorphology,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.09
103-OMS-6131-CA1,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.32
103001 Introductory_Lecture_I,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.35
103002 Introductory_Lecture_Ii,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.14
103003 Intro_To_Human_Development,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.12
103004 Vertebral_Column,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.08
103005 Intro_To_Lab_Skinning_Osteo_Osirix_Prosections,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.07
103007 Back_Musculature_Suboccipital_Region,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.06
103008 Vc_Contents_I,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.10
103009 Back_Musculature_Suboccipital_Region,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.03
103011 Development_Week_1,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.05
103012 Vc_Contents_Ii,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.15
103013 Laminectory_Spinal_Cord_Meninges,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.07
103015 Introduction_To_Ue,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.09
103016 Posteror_Shoulder_Muscles,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.05
103017 Scapular_Region_Post_Arm_Super_Aa_Vv,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.05
103019 Pectoral_Region_And_Breast,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.06
103020 Shoulder_Joint_Complex,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.04
103021 Pectoral_Region_Breast,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.05
103023 Axilla,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.07
103024 Brachial_Plexus,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.06
103025 Axillary_Region_I_(Skinning_Axillary_Aa),SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.09
103027 Development_Weeks_2_To_3,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.05
103028 Development_Weeks_4_To_8,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.09
103029 Axillary_Region_Ii_(Brachial_Plexus),SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.07
103031 Development_Wks_9_To_Birth,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.07
103032 Arm_And_Cubital_Fossa,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.06
103033 Arm_And_Cubital_Fossa,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.04
103035 Development_Birth_Defects_Prenatal_Dx,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.19
103036 Anterior_Forearm,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.04
103037 Forearm_Flexor_Compartment,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.04
103039 Hand_Palmar_Aspect,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.05
103040 Posterior_Forearm_Dorsal_Hand,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.03
103041 Hand_Palmar_Aspect,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.03
103043 Upper_Extremity_Joints,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.03
103044 Extensor_Forearm_Hand_Dorsum_Joints_Glenohumeral_Sternoclavicular_Acromioclavicular_Elbow_(Radioulnar)_Wrist_Metacarpal_Interphangeal_Joints,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.03
103046 Development_Of_Body_Cavities,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.07
103047 Thorax_Intro_Thoracic_Wall_Pleura,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.08
103050 Autonomic_Nervous_System,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.06
103051 Airway_Lungs,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.07
103052 Lungs_And_Airway,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.08
103054 Mediastinum,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.08
103055 Basic_Heart_Anatomy,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.06
103056 Mediastinum_Heart,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.05
103058 Clinical_Heart_Anatomy_I,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.09
103060 Mediastinum_Heart,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.05
103062 Intro_Abdominal_Wall_I_Basic_Anatomy,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.10
103063 Abdominal_Wall_Ii_Clinical_Correlations,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.10
103064 Abdominal_Wall_Inguinal_Canal_Spermatic_Cord,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.08
103066 Peritoneal_Cavities_Divisions_Contents,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.06
103068 Abdominal_Cavity_Opening_Contents_Foregut,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.06
103072 Abdominal_Cavity_Contents_Midgut,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.05
103074 General_Venous_Drainage_Hepatic_Portal_System,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.10
103075 Abdominal_Innervation_Lymphatic_Drainage,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.05
103078 Development_Gi_I,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.06
103080 Gi_Tract_Removal_In_Selected_Tables_Review,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.06
103082 Retroperitoneal_Space_Posterior_Abd_Contents,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.12
103083 Posterior_Abdominal_Wall_And_Diaphragm,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.11
103084 Retroperitoneal_Space_Posterior_Abd_Contents,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.10
103086 Development_Urinary_System,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.10
103087 Gi_Imaging,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.13
103088 Gi_Imaging_Posterior_Abdominal_Wall,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.07
103090 Pelvis_Overview_Pelvic_Diaphragm,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.04
103096 Pelvic_Cavity_And_Contents_(Male_And_Female)_Bisection,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.04
103098 Pelvic_Floor_Sacral_Plexus_Pelvic_Pain_Line,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.03
103102 Perineum_And_Triangles_I,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.02
103104 Perineum_And_Triangles_Ischioanal_Fossa_Ext_Gen,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.02
103106 Development_Reproductive_System,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.07
103107 Pelvic_Imaging,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.00
103110 Lower_Extremity_Intro,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.05
103111 Lower_Extremity_Anterior_Thigh_Medial_Thigh,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.03
103112 Thigh_Anterior_Medial,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.00
103114 Gluteal_Region,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.03
103115 Posterior_Thigh_Popliteal_Fossa,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.03
103116 Hip_Joint,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.04
103117 Gluteal_Region_Posterior_Thigh_Popliteal_Fossa,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.00
103119 Leg_Posterior_Compartment,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.05
103120 Plantar_Foot_And_Arches,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.04
103121 Posterior_Leg_Plantar_Foot,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.01
103125 Anterior_Lateral_Leg_Dorsum_Of_Foot,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.04
103126 Knee_Joint,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.03
103127 Anterior_Lateral_Leg_Dorsum_Of_Foot,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.01
103129 Lower_Extremity_Ankle_Foot_Joint,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.03
103130 Imaging_Of_The_Lower_Extremity,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.01
103131 All_Lower_Extremity_Joints,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.02
103136 Development_Extremities_(Ue_Le),SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.05
104-OMS-6151-MP1,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.34
104012 Synaptic_Transmission_Neuromuscular_Junction,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.03
104014 Skeletal_Muscle_Sliding_Filament_Theory_I,SS Systems-based practice (including health systems\, public health\, community\, schools) and patient safety (including basic concepts and terminology),0.08
